"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1983M08","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M08","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M08","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M08","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"1983M08","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.8",""
"1983M09","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M09","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M09","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M09","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"1983M09","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M09","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
